Fecha(dd/mm/año), Venta al final del dia ($COP) 
2/04/2020,122499.30
3/04/2020,131719.67
4/04/2020,124276.40
5/04/2020,128478.88
6/04/2020,120126.00
7/04/2020,141430.45
8/04/2020,121522.95
9/04/2020,124823.87
10/04/2020,142597.81
11/04/2020,103826.89
12/04/2020,104754.18
13/04/2020,131632.76
14/04/2020,105922.52
15/04/2020,143323.45
16/04/2020,115036.57
17/04/2020,111030.54
18/04/2020,143075.30
19/04/2020,137766.18
20/04/2020,142410.71
21/04/2020,130872.54
22/04/2020,109665.29
23/04/2020,142920.78
24/04/2020,116783.96
25/04/2020,129629.48
26/04/2020,131367.02
27/04/2020,118139.88
28/04/2020,127368.95
29/04/2020,131066.48
30/04/2020,124517.11
1/05/2020,104422.28
2/05/2020,120819.45
3/05/2020,132881.73
4/05/2020,109171.80
5/05/2020,115564.99
6/05/2020,112215.26
7/05/2020,139016.16
8/05/2020,125207.90
9/05/2020,122100.87
10/05/2020,108287.81
11/05/2020,123647.01
12/05/2020,109409.20
13/05/2020,117693.95
14/05/2020,109860.73
15/05/2020,125256.46
16/05/2020,124085.10
17/05/2020,114876.74
18/05/2020,121966.48
19/05/2020,104496.65
20/05/2020,99825.00
21/05/2020,122475.47
22/05/2020,119275.93
23/05/2020,124770.73
24/05/2020,145279.68
25/05/2020,128401.19
26/05/2020,106611.23
27/05/2020,130425.40
28/05/2020,101882.22
29/05/2020,111905.17
30/05/2020,116519.89
31/05/2020,137421.53
1/06/2020,101807.70
2/06/2020,100909.18
3/06/2020,108917.02
4/06/2020,102701.74
5/06/2020,122393.00
6/06/2020,98120.75
7/06/2020,97377.84
8/06/2020,105183.98
9/06/2020,104521.64
10/06/2020,131224.85
11/06/2020,120443.63
12/06/2020,110963.06
13/06/2020,96520.21
14/06/2020,119287.99
15/06/2020,98997.63
16/06/2020,93007.52
17/06/2020,123068.33
18/06/2020,113486.37
19/06/2020,120129.45
20/06/2020,113506.00
21/06/2020,119425.14
22/06/2020,102838.72
23/06/2020,98623.33
24/06/2020,117497.54
25/06/2020,101162.49
26/06/2020,102414.95
27/06/2020,104989.14
28/06/2020,110192.27
29/06/2020,106106.07
30/06/2020,94875.54
1/07/2020,93563.82
2/07/2020,77765.97
3/07/2020,106252.31
4/07/2020,83979.42
5/07/2020,88956.17
6/07/2020,100521.65
7/07/2020,92604.37
8/07/2020,115430.15
9/07/2020,87071.43
10/07/2020,102670.51
11/07/2020,99607.17
12/07/2020,88319.07
13/07/2020,105232.77
14/07/2020,98284.54
15/07/2020,107717.91
16/07/2020,108235.04
17/07/2020,121632.36
18/07/2020,113365.28
19/07/2020,96308.18
20/07/2020,97606.21
21/07/2020,110996.60
22/07/2020,106552.64
23/07/2020,106401.32
24/07/2020,83830.44
25/07/2020,99756.74
26/07/2020,92619.69
27/07/2020,102799.25
28/07/2020,99018.50
29/07/2020,109101.79
30/07/2020,103172.18
31/07/2020,107863.28
1/08/2020,85802.23
2/08/2020,81499.98
3/08/2020,86309.55
4/08/2020,89846.82
5/08/2020,93412.37
6/08/2020,110333.78
7/08/2020,89619.69
8/08/2020,81396.49
9/08/2020,86886.16
10/08/2020,85827.64
11/08/2020,94333.33
12/08/2020,76132.83
13/08/2020,90569.36
14/08/2020,91408.56
15/08/2020,92089.63
16/08/2020,84624.16
17/08/2020,87858.70
18/08/2020,77183.45
19/08/2020,85560.12
20/08/2020,85114.25
21/08/2020,93744.45
22/08/2020,79594.36
23/08/2020,97030.78
24/08/2020,103450.36
25/08/2020,71370.13
26/08/2020,93836.33
27/08/2020,96092.17
28/08/2020,84263.07
29/08/2020,86424.55
30/08/2020,88804.07
31/08/2020,87319.88
1/09/2020,80124.59
2/09/2020,68822.38
3/09/2020,92206.91
4/09/2020,91605.72
5/09/2020,75954.64
6/09/2020,70555.17
7/09/2020,86987.63
8/09/2020,77918.91
9/09/2020,83853.15
10/09/2020,80039.30
11/09/2020,88397.10
12/09/2020,88423.64
13/09/2020,76680.29
14/09/2020,71241.91
15/09/2020,69591.84
16/09/2020,87726.08
17/09/2020,72850.06
18/09/2020,78489.16
19/09/2020,77749.20
20/09/2020,82244.87
21/09/2020,66670.43
22/09/2020,84240.30
23/09/2020,87011.00
24/09/2020,83410.56
25/09/2020,80109.10
26/09/2020,83484.79
27/09/2020,85978.79
28/09/2020,59755.84
29/09/2020,98850.88
30/09/2020,85904.76
1/10/2020,74780.73
2/10/2020,76872.37
3/10/2020,83949.93
4/10/2020,79071.17
5/10/2020,63754.52
6/10/2020,96515.94
7/10/2020,79115.67
8/10/2020,88161.38
9/10/2020,74463.60
10/10/2020,92291.02
11/10/2020,82290.75
12/10/2020,84870.75
13/10/2020,71637.97
14/10/2020,89689.16
15/10/2020,85518.55
16/10/2020,90414.77
17/10/2020,74975.30
18/10/2020,76151.78
19/10/2020,98431.33
20/10/2020,71519.87
21/10/2020,78912.40
22/10/2020,89095.13
23/10/2020,80781.80
24/10/2020,84663.63
25/10/2020,76804.41
26/10/2020,82960.45
27/10/2020,69547.79
28/10/2020,93265.05
29/10/2020,79054.69
30/10/2020,74558.57
31/10/2020,85331.06
1/11/2020,78870.28
2/11/2020,71647.91
3/11/2020,71544.90
4/11/2020,88415.57
5/11/2020,81360.15
6/11/2020,81574.05
7/11/2020,91590.22
8/11/2020,73362.95
9/11/2020,76638.29
10/11/2020,79497.33
11/11/2020,83459.59
12/11/2020,82330.82
13/11/2020,80307.52
14/11/2020,82169.97
15/11/2020,81792.30
16/11/2020,76729.84
17/11/2020,75957.71
18/11/2020,84949.18
19/11/2020,75313.45
20/11/2020,73110.54
21/11/2020,80097.48
22/11/2020,81375.91
23/11/2020,101337.97
24/11/2020,76853.07
25/11/2020,90478.32
26/11/2020,88857.21
27/11/2020,72849.36
28/11/2020,89072.71
29/11/2020,72891.23
30/11/2020,60693.59
1/12/2020,95456.88
2/12/2020,74196.98
3/12/2020,94058.41
4/12/2020,83843.90
5/12/2020,104935.96
6/12/2020,99616.58
7/12/2020,85919.53
8/12/2020,83809.46
9/12/2020,79073.30
10/12/2020,86031.70
11/12/2020,87476.80
12/12/2020,86717.76
13/12/2020,91410.33
14/12/2020,95206.69
15/12/2020,93146.89
16/12/2020,83122.70
17/12/2020,77059.88
18/12/2020,102280.79
19/12/2020,83794.96
20/12/2020,84129.36
21/12/2020,85309.30
22/12/2020,73412.37
23/12/2020,85698.23
24/12/2020,85683.10
25/12/2020,95583.22
26/12/2020,96286.11
27/12/2020,90033.94
28/12/2020,98386.64
29/12/2020,93059.68
30/12/2020,89858.86
31/12/2020,91448.35
1/01/2021,107902.81
2/01/2021,105656.66
3/01/2021,107054.93
4/01/2021,97591.88
5/01/2021,113084.86
6/01/2021,99075.64
7/01/2021,119257.94
8/01/2021,107255.96
9/01/2021,110544.44
10/01/2021,115432.20
11/01/2021,117076.46
12/01/2021,92723.14
13/01/2021,107724.06
14/01/2021,119681.97
15/01/2021,91320.84
16/01/2021,114260.09
17/01/2021,85188.79
18/01/2021,98752.42
19/01/2021,110424.94
20/01/2021,91776.13
21/01/2021,99159.38
22/01/2021,93809.81
23/01/2021,128129.48
24/01/2021,111806.51
25/01/2021,116240.19
26/01/2021,107550.57
27/01/2021,106112.25
28/01/2021,92218.78
29/01/2021,106789.79
30/01/2021,101623.59
31/01/2021,119437.16
1/02/2021,134807.33
2/02/2021,138745.60
3/02/2021,131315.88
4/02/2021,113756.29
5/02/2021,107497.65
6/02/2021,130276.62
7/02/2021,125311.14
8/02/2021,99600.68
9/02/2021,125301.33
10/02/2021,130855.69
11/02/2021,121713.00
12/02/2021,118760.85
13/02/2021,111227.45
14/02/2021,103496.93
15/02/2021,130683.61
16/02/2021,117259.72
17/02/2021,118175.05
18/02/2021,141965.93
19/02/2021,129282.46
20/02/2021,125486.98
21/02/2021,122718.95
22/02/2021,139391.94
23/02/2021,141807.03
24/02/2021,132247.01
25/02/2021,128044.92
26/02/2021,95655.30
27/02/2021,122497.04
28/02/2021,119425.71
1/03/2021,130265.05
2/03/2021,141222.81
3/03/2021,93696.32
4/03/2021,121705.44
5/03/2021,132535.74
6/03/2021,123027.80
7/03/2021,110767.02
8/03/2021,140266.76
9/03/2021,132625.66
10/03/2021,116520.21
11/03/2021,133115.36
12/03/2021,139655.33
13/03/2021,129120.86
14/03/2021,139384.05
15/03/2021,130062.53
16/03/2021,123952.03
17/03/2021,114089.94
18/03/2021,127943.60
19/03/2021,131559.96
20/03/2021,140355.40
21/03/2021,127567.07
22/03/2021,134955.62
23/03/2021,116603.99
24/03/2021,118952.53
25/03/2021,127627.96
26/03/2021,115442.31
27/03/2021,139638.07
28/03/2021,135029.37
29/03/2021,132654.36
30/03/2021,133426.20
31/03/2021,155134.64
1/04/2021,125810.99
2/04/2021,102940.98
3/04/2021,134630.76
4/04/2021,131332.03
5/04/2021,125168.75
6/04/2021,119079.45
7/04/2021,126202.70
8/04/2021,134393.67
9/04/2021,125362.82
10/04/2021,163844.39
11/04/2021,119321.34
12/04/2021,121530.85
13/04/2021,101790.22
14/04/2021,135319.59
15/04/2021,105383.43
16/04/2021,124879.20
17/04/2021,128361.15
18/04/2021,122631.59
19/04/2021,154953.12
20/04/2021,145126.01
21/04/2021,149412.61
22/04/2021,120352.07
23/04/2021,146897.44
24/04/2021,138547.21
25/04/2021,142182.56
26/04/2021,145588.59
27/04/2021,120004.33
28/04/2021,126399.01
29/04/2021,143386.27
30/04/2021,96945.83
1/05/2021,148582.45
2/05/2021,136190.87
3/05/2021,128462.74
4/05/2021,131898.27
5/05/2021,115760.98
6/05/2021,124536.45
7/05/2021,143252.01
8/05/2021,145803.86
9/05/2021,163848.02
10/05/2021,128098.54
11/05/2021,120553.76
12/05/2021,122416.24
13/05/2021,115914.47
14/05/2021,128047.82
15/05/2021,133991.82
16/05/2021,128610.65
17/05/2021,143201.20
18/05/2021,126029.94
19/05/2021,124568.62
20/05/2021,121551.14
21/05/2021,107982.99
22/05/2021,108820.12
23/05/2021,113835.22
24/05/2021,145847.82
25/05/2021,140606.12
26/05/2021,146796.82
27/05/2021,111860.03
28/05/2021,103646.95
29/05/2021,120534.36
30/05/2021,131321.55
31/05/2021,135488.28
1/06/2021,133680.46
2/06/2021,124439.78
3/06/2021,142086.29
4/06/2021,118306.47
5/06/2021,109951.74
6/06/2021,100657.26
7/06/2021,110243.45
8/06/2021,123929.63
9/06/2021,110246.48
10/06/2021,132334.58
11/06/2021,138089.17
12/06/2021,92328.00
13/06/2021,131455.03
14/06/2021,93900.79
15/06/2021,125858.14
16/06/2021,135820.93
17/06/2021,121784.76
18/06/2021,105515.76
19/06/2021,113916.28
20/06/2021,117834.09
21/06/2021,118794.84
22/06/2021,118544.95
23/06/2021,119670.42
24/06/2021,123583.11
25/06/2021,106376.26
26/06/2021,118071.56
27/06/2021,139370.96
28/06/2021,116345.79
29/06/2021,115629.58
30/06/2021,134046.19
1/07/2021,81848.97
2/07/2021,122995.16
3/07/2021,103049.06
4/07/2021,111803.21
5/07/2021,111059.53
6/07/2021,120367.15
7/07/2021,107056.46
8/07/2021,102541.72
9/07/2021,124276.30
10/07/2021,83994.09
11/07/2021,110223.68
12/07/2021,95172.82
13/07/2021,101622.69
14/07/2021,132123.82
15/07/2021,109509.45
16/07/2021,112145.77
17/07/2021,90402.81
18/07/2021,101980.51
19/07/2021,112162.13
20/07/2021,113902.33
21/07/2021,116785.75
22/07/2021,110094.91
23/07/2021,115797.05
24/07/2021,114991.60
25/07/2021,89872.86
26/07/2021,110407.06
27/07/2021,118446.93
28/07/2021,116488.68
29/07/2021,105997.55
30/07/2021,101138.11
31/07/2021,97698.57
1/08/2021,97702.57
2/08/2021,110217.49
3/08/2021,79677.14
4/08/2021,92467.07
5/08/2021,87715.96
6/08/2021,106771.08
7/08/2021,93512.33
8/08/2021,94340.69
9/08/2021,96852.20
10/08/2021,103409.39
11/08/2021,95115.35
12/08/2021,68843.18
13/08/2021,104378.79
14/08/2021,103346.53
15/08/2021,96826.54
16/08/2021,88268.04
17/08/2021,102482.62
18/08/2021,102754.43
19/08/2021,94346.67
20/08/2021,96854.36
21/08/2021,89791.45
22/08/2021,97231.97
23/08/2021,83650.75
24/08/2021,103131.46
25/08/2021,89650.75
26/08/2021,101357.22
27/08/2021,85080.97
28/08/2021,93158.43
29/08/2021,97906.15
30/08/2021,82559.07
31/08/2021,100139.96
1/09/2021,87499.19
2/09/2021,75101.16
3/09/2021,79094.78
4/09/2021,96450.85
5/09/2021,99092.29
6/09/2021,89747.77
7/09/2021,94628.65
8/09/2021,92983.24
9/09/2021,93945.28
10/09/2021,102643.14
11/09/2021,77241.68
12/09/2021,97099.68
13/09/2021,87473.17
14/09/2021,88907.86
15/09/2021,88198.56
16/09/2021,87535.57
17/09/2021,79795.50
18/09/2021,92614.86
19/09/2021,106144.24
20/09/2021,90436.93
21/09/2021,90934.84
22/09/2021,84696.63
23/09/2021,89879.04
24/09/2021,95187.11
25/09/2021,87580.18
26/09/2021,86820.21
27/09/2021,94615.03
28/09/2021,82598.42
29/09/2021,93243.83
30/09/2021,98408.06
1/10/2021,99967.55
2/10/2021,87204.64
3/10/2021,100034.86
4/10/2021,97102.81
5/10/2021,79233.33
6/10/2021,77282.14
7/10/2021,85316.32
8/10/2021,97054.63
9/10/2021,87363.87
10/10/2021,82714.21
11/10/2021,101659.74
12/10/2021,90524.76
13/10/2021,67578.77
14/10/2021,90791.01
15/10/2021,92576.36
16/10/2021,89985.36
17/10/2021,91957.47
18/10/2021,87407.97
19/10/2021,76398.12
20/10/2021,84737.80
21/10/2021,79678.58
22/10/2021,79791.88
23/10/2021,76885.00
24/10/2021,91981.90
25/10/2021,88861.49
26/10/2021,84056.14
27/10/2021,82285.83
28/10/2021,87793.88
29/10/2021,97496.91
30/10/2021,70362.90
31/10/2021,91316.51
1/11/2021,85984.33
2/11/2021,73807.62
3/11/2021,73251.77
4/11/2021,82645.91
5/11/2021,92943.82
6/11/2021,94522.25
7/11/2021,82407.64
8/11/2021,100196.99
9/11/2021,103889.11
10/11/2021,94549.75
11/11/2021,85568.79
12/11/2021,101173.75
13/11/2021,97817.57
14/11/2021,98836.29
15/11/2021,84977.07
16/11/2021,65167.89
17/11/2021,110199.11
18/11/2021,76296.91
19/11/2021,90622.14
20/11/2021,112599.71
21/11/2021,93953.95
22/11/2021,99580.59
23/11/2021,77283.53
24/11/2021,74780.02
25/11/2021,86102.65
26/11/2021,100867.53
27/11/2021,87798.39
28/11/2021,83720.43
29/11/2021,92747.90
30/11/2021,100787.37
1/12/2021,84695.09
2/12/2021,87015.62
3/12/2021,91192.17
4/12/2021,109836.92
5/12/2021,101324.73
6/12/2021,120108.32
7/12/2021,108270.81
8/12/2021,98652.56
9/12/2021,111524.27
10/12/2021,101093.82
11/12/2021,92021.28
12/12/2021,105731.75
13/12/2021,92106.37
14/12/2021,96125.07
15/12/2021,112145.05
16/12/2021,97997.31
17/12/2021,91048.90
18/12/2021,94403.06
19/12/2021,109115.73
20/12/2021,93529.85
21/12/2021,95169.98
22/12/2021,93948.10
23/12/2021,100820.86
24/12/2021,95183.65
25/12/2021,83141.82
26/12/2021,90216.91
27/12/2021,89765.39
28/12/2021,111308.86
29/12/2021,107045.47
30/12/2021,104813.87
31/12/2021,93996.95
1/01/2022,110210.50
2/01/2022,113909.79
3/01/2022,107377.44
4/01/2022,149966.40
5/01/2022,93056.14
6/01/2022,126768.10
7/01/2022,104585.37
8/01/2022,118747.88
9/01/2022,108143.98
10/01/2022,105868.45
11/01/2022,106317.64
12/01/2022,141059.83
13/01/2022,118404.14
14/01/2022,110811.57
15/01/2022,126669.44
16/01/2022,120124.19
17/01/2022,128640.41
18/01/2022,98108.92
19/01/2022,123643.25
20/01/2022,129272.34
21/01/2022,100060.82
22/01/2022,125378.34
23/01/2022,140354.18
24/01/2022,119821.71
25/01/2022,129856.87
26/01/2022,128046.85
27/01/2022,111509.93
28/01/2022,120477.20
29/01/2022,101196.06
30/01/2022,114584.36
31/01/2022,123188.26
1/02/2022,141544.93
2/02/2022,132324.88
3/02/2022,141503.79
4/02/2022,117441.64
5/02/2022,130657.60
6/02/2022,132254.49
7/02/2022,156414.60
8/02/2022,129173.00
9/02/2022,125412.98
10/02/2022,132281.84
11/02/2022,119867.70
12/02/2022,134544.35
13/02/2022,127181.27
14/02/2022,108354.48
15/02/2022,131226.66
16/02/2022,127808.43
17/02/2022,110452.01
18/02/2022,131113.83
19/02/2022,151659.50
20/02/2022,138881.21
21/02/2022,140077.44
22/02/2022,114292.24
23/02/2022,138295.06
24/02/2022,133959.53
25/02/2022,138983.40
26/02/2022,137578.70
27/02/2022,114050.89
28/02/2022,131453.51
1/03/2022,130114.95
2/03/2022,140079.50
3/03/2022,128150.59
4/03/2022,159262.17
5/03/2022,128691.60
6/03/2022,128128.89
7/03/2022,141834.67
8/03/2022,125620.71
9/03/2022,134806.00
10/03/2022,129099.99
11/03/2022,160651.74
12/03/2022,151847.52
13/03/2022,139975.53
14/03/2022,135276.88
15/03/2022,154031.28
16/03/2022,146489.26
17/03/2022,147796.42
18/03/2022,140415.86
19/03/2022,117016.93
20/03/2022,139201.26
21/03/2022,133287.97
22/03/2022,149866.00
23/03/2022,155029.79
24/03/2022,131521.67
25/03/2022,147378.75
26/03/2022,165223.11
27/03/2022,131384.24
28/03/2022,164463.48
29/03/2022,128781.51
30/03/2022,141107.85
31/03/2022,140627.70
1/04/2022,144165.58
2/04/2022,131937.44
3/04/2022,135486.96
4/04/2022,134384.83
5/04/2022,148708.26
6/04/2022,148752.51
7/04/2022,176053.60
8/04/2022,163742.24
9/04/2022,136658.26
10/04/2022,148678.12
11/04/2022,158358.50
12/04/2022,144440.67
13/04/2022,142997.16
14/04/2022,144742.68
15/04/2022,156488.78
16/04/2022,131784.18
17/04/2022,139310.36
18/04/2022,150774.24
19/04/2022,148484.84
20/04/2022,147449.99
21/04/2022,138674.86
22/04/2022,158004.52
23/04/2022,174727.70
24/04/2022,149852.38
25/04/2022,141218.26
26/04/2022,154882.66
27/04/2022,136236.49
28/04/2022,133204.46
29/04/2022,144472.45
30/04/2022,106807.73
1/05/2022,124538.76
2/05/2022,135885.84
3/05/2022,121730.98
4/05/2022,126246.58
5/05/2022,134635.87
6/05/2022,117654.19
7/05/2022,135067.74
8/05/2022,133248.83
9/05/2022,141142.28
10/05/2022,157033.74
11/05/2022,143213.21
12/05/2022,141081.13
13/05/2022,142184.78
14/05/2022,143985.95
15/05/2022,126470.49
16/05/2022,139168.75
17/05/2022,145131.35
18/05/2022,121486.42
19/05/2022,152971.67
20/05/2022,156008.72
21/05/2022,131895.81
22/05/2022,137386.95
23/05/2022,128421.04
24/05/2022,150630.81
25/05/2022,125844.23
26/05/2022,137652.48
27/05/2022,128692.34
28/05/2022,141501.97
29/05/2022,115524.62
30/05/2022,159459.15
31/05/2022,127204.44
1/06/2022,132790.61
2/06/2022,129194.70
3/06/2022,121940.09
4/06/2022,120281.30
5/06/2022,144360.46
6/06/2022,125061.54
7/06/2022,135579.45
8/06/2022,121420.24
9/06/2022,123457.21
10/06/2022,138233.66
11/06/2022,144281.39
12/06/2022,129685.82
13/06/2022,113230.66
14/06/2022,158373.02
15/06/2022,120693.55
16/06/2022,111651.05
17/06/2022,166246.40
18/06/2022,126666.77
19/06/2022,112705.13
20/06/2022,122978.60
21/06/2022,136851.59
22/06/2022,134512.11
23/06/2022,120757.17
24/06/2022,156059.95
25/06/2022,125115.15
26/06/2022,116362.14
27/06/2022,144681.15
28/06/2022,149543.63
29/06/2022,121209.09
30/06/2022,113502.22
1/07/2022,132365.26
2/07/2022,95432.12
3/07/2022,105280.54
4/07/2022,131609.35
5/07/2022,119335.77
6/07/2022,116832.75
7/07/2022,124233.80
8/07/2022,118166.71
9/07/2022,104415.76
10/07/2022,135312.90
11/07/2022,135900.17
12/07/2022,122463.99
13/07/2022,120541.61
14/07/2022,148075.50
15/07/2022,116682.81
16/07/2022,116885.08
17/07/2022,124373.77
18/07/2022,137655.86
19/07/2022,139113.25
20/07/2022,116897.13
21/07/2022,123699.97
22/07/2022,103463.00
23/07/2022,116256.29
24/07/2022,109916.52
25/07/2022,107918.02
26/07/2022,140178.92
27/07/2022,110492.56
28/07/2022,113620.73
29/07/2022,124390.19
30/07/2022,135573.90
31/07/2022,125773.38
1/08/2022,137801.04
2/08/2022,107193.59
3/08/2022,110794.14
4/08/2022,110976.49
5/08/2022,123498.53
6/08/2022,113478.18
7/08/2022,106744.72
8/08/2022,97767.12
9/08/2022,110639.99
10/08/2022,123134.52
11/08/2022,103567.88
12/08/2022,113712.59
13/08/2022,110658.40
14/08/2022,117326.01
15/08/2022,99308.66
16/08/2022,133343.79
17/08/2022,94185.06
18/08/2022,104052.05
19/08/2022,118131.40
20/08/2022,111204.72
21/08/2022,116963.85
22/08/2022,102642.09
23/08/2022,107192.11
24/08/2022,108132.11
25/08/2022,124948.00
26/08/2022,115456.63
27/08/2022,116604.06
28/08/2022,100894.40
29/08/2022,118463.93
30/08/2022,110436.28
31/08/2022,123002.77
1/09/2022,119197.97
2/09/2022,96171.80
3/09/2022,95184.24
4/09/2022,90642.73
5/09/2022,97790.86
6/09/2022,95425.11
7/09/2022,102782.23
8/09/2022,97781.06
9/09/2022,95627.77
10/09/2022,109777.71
11/09/2022,89910.17
12/09/2022,103512.49
13/09/2022,95187.82
14/09/2022,106402.24
15/09/2022,112959.32
16/09/2022,96208.19
17/09/2022,103591.12
18/09/2022,100989.29
19/09/2022,91283.89
20/09/2022,101604.37
21/09/2022,102083.91
22/09/2022,103311.70
23/09/2022,97246.97
24/09/2022,100149.92
25/09/2022,87829.32
26/09/2022,95662.35
27/09/2022,104731.40
28/09/2022,108070.10
29/09/2022,95025.38
30/09/2022,100254.31
1/10/2022,98189.31
2/10/2022,97934.21
3/10/2022,101191.43
4/10/2022,78546.45
5/10/2022,95526.49
6/10/2022,98294.72
7/10/2022,86396.83
8/10/2022,112070.26
9/10/2022,97550.97
10/10/2022,111008.69
11/10/2022,88410.98
12/10/2022,87289.92
13/10/2022,98152.82
14/10/2022,79884.59
15/10/2022,98063.67
16/10/2022,96933.30
17/10/2022,105750.39
18/10/2022,102730.00
19/10/2022,91992.22
20/10/2022,85464.03
21/10/2022,112438.13
22/10/2022,88395.70
23/10/2022,85962.96
24/10/2022,85585.38
25/10/2022,106726.13
26/10/2022,91018.56
27/10/2022,88764.44
28/10/2022,97321.82
29/10/2022,94013.33
30/10/2022,89490.28
31/10/2022,103238.32
1/11/2022,109784.96
2/11/2022,108991.26
3/11/2022,106824.41
4/11/2022,103210.06
5/11/2022,81595.85
6/11/2022,115776.93
7/11/2022,102211.59
8/11/2022,105249.24
9/11/2022,110277.53
10/11/2022,113436.45
11/11/2022,103366.54
12/11/2022,103536.68
13/11/2022,93270.16
14/11/2022,99543.69
15/11/2022,90740.80
16/11/2022,92072.47
17/11/2022,90349.76
18/11/2022,97667.39
19/11/2022,109624.01
20/11/2022,130676.34
21/11/2022,101095.52
22/11/2022,85837.06
23/11/2022,111765.97
24/11/2022,96231.15
25/11/2022,92661.14
26/11/2022,101297.42
27/11/2022,86906.48
28/11/2022,101422.57
29/11/2022,98338.57
30/11/2022,100191.45
1/12/2022,112119.30
2/12/2022,108728.92
3/12/2022,108176.45
4/12/2022,111070.60
5/12/2022,112486.33
6/12/2022,96859.99
7/12/2022,92556.09
8/12/2022,107334.31
9/12/2022,92526.46
10/12/2022,108945.34
11/12/2022,118138.47
12/12/2022,114556.81
13/12/2022,96679.76
14/12/2022,98709.17
15/12/2022,111545.65
16/12/2022,103665.98
17/12/2022,104580.12
18/12/2022,114446.59
19/12/2022,97337.30
20/12/2022,103666.67
21/12/2022,99359.11
22/12/2022,96734.20
23/12/2022,98743.56
24/12/2022,115316.59
25/12/2022,108559.66
26/12/2022,98505.07
27/12/2022,105504.10
28/12/2022,90300.88
29/12/2022,100080.22
30/12/2022,131215.40
31/12/2022,107025.37
1/01/2023,139511.57
2/01/2023,129148.65
3/01/2023,134526.20
4/01/2023,138622.36
5/01/2023,115639.98
6/01/2023,129597.83
7/01/2023,150525.25
8/01/2023,119658.49
9/01/2023,122636.28
10/01/2023,126000.01
11/01/2023,133497.31
12/01/2023,136823.93
13/01/2023,146476.35
14/01/2023,136493.48
15/01/2023,129193.31
16/01/2023,146369.17
17/01/2023,139153.44
18/01/2023,110556.17
19/01/2023,162842.79
20/01/2023,153008.98
21/01/2023,127813.22
22/01/2023,134912.83
23/01/2023,147216.66
24/01/2023,127761.39
25/01/2023,139494.57
26/01/2023,144359.52
27/01/2023,116807.26
28/01/2023,122169.69
29/01/2023,141978.31
30/01/2023,135990.59
31/01/2023,142009.36
1/02/2023,141104.28
2/02/2023,138867.23
3/02/2023,114419.46
4/02/2023,126612.19
5/02/2023,143673.05
6/02/2023,154791.17
7/02/2023,150595.85
8/02/2023,141166.14
9/02/2023,139113.67
10/02/2023,146105.67
11/02/2023,144118.42
12/02/2023,163085.00
13/02/2023,145094.10
14/02/2023,121818.18
15/02/2023,124802.42
16/02/2023,164718.26
17/02/2023,126252.41
18/02/2023,153932.31
19/02/2023,139162.27
20/02/2023,140572.46
21/02/2023,141081.90
22/02/2023,160465.80
23/02/2023,140242.36
24/02/2023,142523.53
25/02/2023,121109.51
26/02/2023,145955.67
27/02/2023,150593.91
28/02/2023,146419.78
1/03/2023,173836.91
2/03/2023,153358.12
3/03/2023,157076.56
4/03/2023,177659.09
5/03/2023,128876.36
6/03/2023,145564.56
7/03/2023,174267.96
